[14:52:11,863] 
message:
err_desc:在其上下文中，该请求的地址无效。
stacktrace:   在 System.Net.Sockets.Socket.DoBind(EndPoint endPointSnapshot, SocketAddress socketAddress)
   在 System.Net.Sockets.Socket.Bind(EndPoint localEP)
   在 AsyncSocketLibrary.Common.Server.SocketListener.StartListen() 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 65
   在 AsyncSocketLibrary.Common.Server.SocketListener..ctor(Func`2 dataProcessor) 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 51
   在 TestServer.MainClass.Main(String[] args) 位置 d:\GitHubData\AsyncSocketLibrary\TestServer\Program.cs:行号 20
source:System ERROR [AsyncSocketLibrary.Common.LogManager.Log] [1]
[14:53:29,282] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,284] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,284] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,286] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,289] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,290] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,292] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,292] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,294] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,294] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,295] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,297] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,300] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,300] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,301] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,304] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,304] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,306] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,309] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,310] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,310] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,313] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,315] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,318] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,318] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,322] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,322] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,324] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,327] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,327] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,329] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,329] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,332] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,332] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,334] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,334] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,336] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,336] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,341] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,341] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,343] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,343] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,344] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,346] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,348] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,350] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,350] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,352] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,352] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,355] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
